start,startPosition,end,endPosition,frequency
56,"[158.3450012, 113.0589981, 147.6470032]",100,"[131.3910065, 125.6579971, 183.0509949]",1
56,"[158.3450012, 113.0589981, 147.6470032]",102,"[133.1990051, 102.9140015, 184.3399963]",1
57,"[143.9880066, 174.8549957, 137.7160034]",13,"[138.2689972, 179.3699951, 124.5009995]",1
57,"[143.9880066, 174.8549957, 137.7160034]",19,"[134.6849976, 137.822998, 78.49230194]",2
57,"[143.9880066, 174.8549957, 137.7160034]",45,"[156.0410004, 139.3359985, 136.3329926]",1
57,"[143.9880066, 174.8549957, 137.7160034]",48,"[160.5249939, 110.7419968, 140.3540039]",1
57,"[143.9880066, 174.8549957, 137.7160034]",58,"[146.345993, 165.3130035, 141.4450073]",13
57,"[143.9880066, 174.8549957, 137.7160034]",59,"[151.7429962, 155.5279999, 144.3860016]",9
57,"[143.9880066, 174.8549957, 137.7160034]",60,"[151.2940063, 145.7890015, 147.4069977]",2
57,"[143.9880066, 174.8549957, 137.7160034]",61,"[154.4859924, 137.5749969, 149.378006]",4
57,"[143.9880066, 174.8549957, 137.7160034]",62,"[155.1399994, 128.4019928, 151.8249969]",15
57,"[143.9880066, 174.8549957, 137.7160034]",63,"[156.1549988, 120.0169983, 153.4470062]",14
57,"[143.9880066, 174.8549957, 137.7160034]",64,"[157.9980011, 105.8190002, 154.4190063]",4
57,"[143.9880066, 174.8549957, 137.7160034]",69,"[152.173996, 131.003006, 157.151001]",1
57,"[143.9880066, 174.8549957, 137.7160034]",70,"[151.7799988, 123.7529984, 158.2429962]",6
57,"[143.9880066, 174.8549957, 137.7160034]",72,"[156.5449982, 102.3290024, 159.7810059]",8
57,"[143.9880066, 174.8549957, 137.7160034]",74,"[143.0890045, 162.6399994, 158.6560059]",1
